"","Journal","Rank","Source","IF"
"12970","Journal of Tropical Agriculture and Food Science","C","ERA",NA
"12971","Journal of Tropical Ecology","C","ERA",1.163
"12972","Journal of Tropical Forest Science","C","ERA",0.496
"12973","Journal of Tropical Microbiology and Biotechnology","C","ERA",NA
"12974","Journal of Tropical Pediatrics","C","ERA",0.94
"12975","Journal of Tsinghua University: Science and Technology","B","ERA",NA
"12976","Journal of Turbomachinery","B","ERA",NA
"12977","Journal of Turbulence","B","ERA",1.573
"12978","Journal of Ubiquitous Computing and Intelligence","C","ERA",NA
"12979","Journal of Ukrainian Studies","C","ERA",NA
"12980","Journal of Ultrasound in Medicine","C","ERA",1.759
"12981","Journal of Undergraduate Mathematics","C","ERA",NA
"12982","Journal of Universal Computer Science","C","ERA",0.701
"12983","Journal of Universal Knowledge Management","C","ERA",NA
"12984","Journal of University of Science and Technology Beijing","C","ERA",NA
"12985","Journal of University Teaching and Learning Practice","B","ERA",NA
"12986","Journal of Urban Affairs","A","ERA",1.619
"12987","Journal of Urban Design","A+","ERA",NA
"12988","Journal of Urban Economics","A+","ERA",2.858
"12989","Journal of Urban Education","C","ERA",NA
"12990","Journal of Urban Health: Bulletin of the New York Academy of Medicine","C","ERA",NA
"12991","Journal of Urban History","A+","ERA",0.453
"12992","Journal of Urban Planning and Development","B","ERA",1.381
"12993","Journal of Urban Planning and Development","B","ERA",1.381
"12994","Journal of Urban Regeneration and Renewal","C","ERA",NA
"12995","Journal of Urban Technology","B","ERA",3.733
"12996","Journal of Urology","A","ERA",5.925
"12997","Journal of Vacation Marketing","B","ERA",1.94
"12998","Journal of Vacuum Science and Technology A","B","ERA",2.166
"12999","Journal of Vacuum Science and Technology. Part B. Microelectronics and Nanometer Structures","B","ERA",NA
"13000","Journal of Vaishnava Studies","C","ERA",NA
"13001","Journal of Value Inquiry","A","ERA",0.431
"13002","Journal of Vascular and Interventional Radiology","B","ERA",3.037
"13003","Journal of Vascular Nursing","A","ERA",NA
"13004","Journal of Vascular Research","A","ERA",1.725
"13005","Journal of Vascular Surgery","A","ERA",3.405
"13006","Journal of Vascular Ultrasound","C","ERA",NA
"13007","Journal of Vector Ecology","C","ERA",1.442
"13008","Journal of Vegetation Science","B","ERA",2.698
"13009","Journal of Venomous Animals and Toxins Including Tropical Diseases","C","ERA",2.262
"13010","Journal of Vertebrate Paleontology","A","ERA",1.863
"13011","Journal of Vestibular Research: Equilibrium and Orientation: an international journal of
experimental and clinical vestibular science","C","ERA",NA
"13012","Journal of Veterinary and Animal Sciences","C","ERA",NA
"13013","Journal of Veterinary Behavior: clinical applications and research","B","ERA",NA
"13014","Journal of Veterinary Cardiology","B","ERA",1.374
"13015","Journal of Veterinary Dentistry","C","ERA",0.378
"13016","Journal of Veterinary Diagnostic Investigation","A","ERA",1.135
"13017","Journal of Veterinary Emergency and Critical Care (Print Edition)","B","ERA",NA
"13018","Journal of Veterinary Internal Medicine","A","ERA",2.194
"13019","Journal of Veterinary Medical Education","C","ERA",1.228
"13020","Journal of Veterinary Medical Science","B","ERA",1.049
"13021","Journal of Veterinary Pharmacology and Therapeutics","A","ERA",1.473
"13022","Journal of Veterinary Science","B","ERA",1.561
"13023","Journal of Vibration and Acoustics-Transactions of the ASME","A","ERA",2.343
"13024","Journal of Vibration and Control","B","ERA",2.169
"13025","Journal of Victorian Culture","A+","ERA",0.304
"13026","Journal of Vietnamese Studies","A+","ERA",NA
"13027","Journal of Viral Hepatitis","B","ERA",3.561
"13028","Journal of Virological Methods","B","ERA",1.786
"13029","Journal of Virology","A+","ERA",4.501
"13030","Journal of Virtual Reality and Broadcasting","C","ERA",NA
"13031","Journal of Vision","A","ERA",2.145
"13032","Journal of Visual Art Practice","C","ERA",NA
"13033","Journal of Visual Communication and Image Representation","C","ERA",2.479
"13034","Journal of Visual Culture","A","ERA",0.171
"13035","Journal of Visual Impairment and Blindness","C","ERA",0.485
"13036","Journal of Visual Languages and Computing","A","ERA",1.25
"13037","Journal of Visual Literacy","C","ERA",NA
"13038","Journal of Visualization","B","ERA",0.926
"13039","Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology","B","ERA",NA
"13040","Journal of Vocational Behavior","A+","ERA",4.075
"13041","Journal of Vocational Education and Training","A","ERA",NA
"13042","Journal of Vocational Rehabilitation","C","ERA",NA
"13043","Journal of Voice","B","ERA",1.903
"13044","Journal of Volcanology and Geothermal Research","A","ERA",2.827
"13045","Journal of Volunteer Administration","C","ERA",NA
"13046","Journal of Water and Health","B","ERA",1.349
"13047","Journal of Water Chemistry and Technology","C","ERA",0.39
"13048","Journal of Water Resources Planning and Management","A+","ERA",2.406
"13049","Journal of Water Supply: Research and Technology","B","ERA",NA
"13050","Journal of Waterway Port Coastal and Ocean Engineering-ASCE","B","ERA",NA
"13051","Journal of Wavelet Theory and Applications","C","ERA",NA
"13052","Journal of Web Librarianship","B","ERA",NA
"13053","Journal of Web Semantics","C","ERA",2.238
"13054","Journal of West African Languages","C","ERA",NA
"13055","Journal of Wetland Archaeology","B","ERA",NA
"13056","Journal of Whiplash and Related Disorders","C","ERA",NA
"13057","Journal of Wildlife Diseases","A","ERA",1.187
"13058","Journal of Wildlife Management","B","ERA",2.215
"13059","Journal of Wind Engineering and Industrial Aerodynamics","A","ERA",2.739
"13060","Journal of Wine Economics","C","ERA",1.774
"13061","Journal of Wine Economics","C","ERA",1.774
"13062","Journal of Wine Research","C","ERA",NA
"13063","Journal of Women and Aging: the multidiciplinary quarterly of psychosocial practice, theory and
research","A","ERA",NA
"13064","Journal of Women and Minorities in Science and Engineering","C","ERA",NA
"13065","Journal of Women in Educational Leadership","C","ERA",NA
"13066","Journal of Women, Politics and Policy","B","ERA",NA
"13067","Journal of Women's Health","B","ERA",NA
"13068","Journal of Women's History","A","ERA",NA
"13069","Journal of Wood Chemistry and Technology","C","ERA",1.899
"13070","Journal of Wood Science","C","ERA",1.333
"13071","Journal of Workplace Learning: employee counselling today","C","ERA",NA
"13072","Journal of World Business","A","ERA",5.194
"13073","Journal of World Health and Population","C","ERA",NA
"13074","Journal of World History: official journal of the World History Association","A","ERA",NA
"13075","Journal of World Investment and Trade","A","ERA",NA
"13076","Journal of World Prehistory","A","ERA",2.417
"13077","Journal of World Trade","A","ERA",0.931
"13078","Journal of World-Systems Research","C","ERA",NA
"13079","Journal of Wound Care","B","ERA",1.798
"13080","Journal of Wound Ostomy and Continence Nursing","C","ERA",2.11
"13081","Journal of Wound Ostomy and Continence Nursing","C","ERA",2.11
"13082","Journal of X-ray Science and Technology","B","ERA",1.342
"13083","Journal of Youth and Adolescence: a multidisciplinary research publication","B","ERA",NA
"13084","Journal of Youth and Theology","C","ERA",NA
"13085","Journal of Youth Studies","A","ERA",1.679
"13086","Journal of Zhejiang University (Science Edition)","C","ERA",NA
"13087","Journal of Zoo and Wildlife Medicine","C","ERA",0.494
"13088","Journal of Zoological Systematics and Evolutionary Research","C","ERA",2.159
"13089","Journal of Zoology","A","ERA",1.724
"13090","Journal on Chain and Network Science","C","ERA",NA
"13091","Journal on Educational  Resources in Computing","C","ERA",NA
"13092","Journal on Excellence in College Teaching","C","ERA",NA
"13093","Journal on Numerical Methods and Computer Applications","C","ERA",NA
"13094","Journal on Telecommunications and High Technology Law","B","ERA",NA
"13095","Journalism and Mass Communication Educator","B","ERA",NA
"13096","Journalism and Mass Communication Quarterly: devoted to research and commentary in journalism
and mass communication","A","ERA",NA
"13097","Journalism History","B","ERA",NA
"13098","Journalism Practice","B","ERA",1.542
"13099","Journalism Studies","A","ERA",2.345
"13100","Journalism: theory, practice and criticism","A+","ERA",NA
"13101","JP Journal of Algebra, Number Theory and Applications","C","ERA",NA
"13102","JP Journal of Biostatistics","C","ERA",NA
"13103","JP Journal of Fixed Point Theory and Applications","C","ERA",NA
"13104","JP Journal of Geometry and Topology","C","ERA",NA
"13105","JSME International Journal Series A-Solid Mechanics and Material Engineering","B","ERA",NA
"13106","JSME International Journal Series C-Mechanical Systems Machine Elements and Manufacturing","B","ERA",NA
"13107","JSME International Journal. Series B","C","ERA",NA
"13108","Judaica: Beitraege zum Verstehen des Judentums","B","ERA",NA
"13109","Judaism: a quarterly journal of Jewish life and thought","C","ERA",NA
"13110","Judgment and Decision Making","B","ERA",2.163
"13111","Judicature: journal of the American Judicature Society","B","ERA",NA
"13112","Judicial Officers' Bulletin","C","ERA",NA
"13113","Jump Cut","C","ERA",NA
"13114","Junctures: the journal for thematic dialogue","C","ERA",NA
"13115","Juntendo Medical Journal","C","ERA",NA
"13116","Juridical Review: law journal of Scottish universities","B","ERA",NA
"13117","Jurimetrics: journal of law, science and technology","A","ERA",NA
"13118","Jurist: Studies in Church Law and Ministry","A","ERA",NA
"13119","Juristenzeitung","A+","ERA",NA
"13120","Juristische Blaetter: mit Beilage Wirtschaftsrechtliche Blaetter: Wbl","C","ERA",NA
"13121","Jurists Review","B","ERA",NA
"13122","Just Labor","B","ERA",NA
"13123","Just Policy: a journal of Australian social policy","C","ERA",NA
"13124","Justice Quarterly","A","ERA",2.802
"13125","Justice Research and Policy","C","ERA",NA
"13126","Justice System Journal","C","ERA",0.293
"13127","Juvenile and Family Court Journal","C","ERA",0.281
"13128","Ka Ho 'Oilina: the legacy: journal of hawaiian language sources","C","ERA",NA
"13129","Ka Mate Ka Ora: a New Zealand journal of poetry and poetics","C","ERA",NA
"13130","Kabbalah (Culver City): journal for the study of Jewish mystical texts","A+","ERA",NA
"13131","Kadin / Woman 2000: kadin arastirmalari dergisi - journal for women studies","C","ERA",NA
"13132","Kadmos: Zeitschrift fuer vor- und fruehgriechische Epigraphik","B","ERA",NA
"13133","Kagaku Kogaku Ronbunshu","C","ERA",0.245
"13134","Kagaku Kyoiku Kenkyu","C","ERA",NA
"13135","Kai Tiaki: Nursing New Zealand","B","ERA",NA
"13136","Kailash: an interdisciplinary journal of Himalayan studies","C","ERA",NA
"13137","Kairos","C","ERA",NA
"13138","Kajian Malaysia: journal of Malaysian studies","B","ERA",NA
"13139","Kalam: Journal of Culture","C","ERA",NA
"13140","Kalliope: a journal of women's literature and art","C","ERA",NA
"13141","Kanagawa-Ken Seishin Igakkaishi","C","ERA",NA
"13142","Kankyo Kagaku Kenkyujo Hokoku","C","ERA",NA
"13143","Kansas Economic Report and Kansas Economic Indicators","C","ERA",NA
"13144","Kansas Entomological Society. Journal","C","ERA",NA
"13145","Kansas Journal of Law and Public Policy","B","ERA",NA
"13146","Kansas Nurse","C","ERA",NA
"13147","Kant Studien: philosophische Zeitschrift der Kant-Gesellschaft","A","ERA",NA
"13148","Kantian Review","A","ERA",NA
"13149","Kanunnah","B","ERA",NA
"13150","Kaogu Xuebao","B","ERA",NA
"13151","Karnataka State Dental Journal","C","ERA",NA
"13152","Karstenia: the mycological journal","C","ERA",NA
"13153","Karstological Review","C","ERA",NA
"13154","Karthago: revue d'archeologie mediterraneenne","B","ERA",NA
"13155","Karunungan: a journal of philosophy","C","ERA",NA
"13156","Katechetische Blaetter: Zeitschrift fuer Religionsunterricht, Gemeindekatechese, Kirchliche
Jugendarbeit","C","ERA",NA
"13157","Kathmandu University Medical Journal","C","ERA",NA
"13158","Keats - Shelley Journal: Keats, Shelley, Byron, Hunt, and their circles","C","ERA",NA
"13159","KEDI Journal of Educational Policy","B","ERA",0.103
